State,Temperature,Humidity,Rainfall,LAI,Month,Population_Density,Disease
Himachal Pradesh,44.44971184889067,54.44599059720399,308.50800277360554,2.4742583741214017,June,75.68934326533144,Typhoid
Tripura,27.83932734013181,46.8308233544815,181.07063883162184,1.3827872161759331,January,293.7749655595226,Typhoid
Meghalaya,31.329926698147656,48.86839799954788,6.743784351880241,4.528200092295903,February,979.4579932612596,Typhoid
Jharkhand,36.5725720843731,41.192135038323634,280.138068550067,4.821861362806491,May,463.2152579763372,Typhoid
Tripura,33.9524073365931,67.84587797358054,175.45001724407626,3.087735308390759,December,289.21538874014084,Typhoid
Goa,37.110680598896295,62.93480706797831,242.26665091926745,5.089312464076831,February,794.074101287037,Typhoid
Madhya Pradesh,43.856668070296365,42.24075635658804,159.30997878448204,2.807504320892104,July,176.85241903170683,Typhoid
Sikkim,42.79879673931565,87.0438012992241,253.63883376092232,4.753515633629791,February,1070.2041073984765,Typhoid
Madhya Pradesh,25.179050316303098,58.82537567526026,1.4650165238337591,4.974924629003331,November,861.6393321091435,Typhoid
Karnataka,44.04388378039153,73.64341042272162,90.91579843027688,1.6485175983279183,January,525.5660314243786,Typhoid
Goa,40.70973572343718,50.87351635050392,291.92488294520507,4.06858974114807,March,639.2769173617761,Typhoid
Karnataka,37.53337532965878,67.1832226731419,306.5468409836873,4.415658959698577,March,634.4113093182197,Typhoid
Goa,28.86924036004908,88.29246192020781,202.47050596927212,3.734046288605645,May,290.6745573519282,Typhoid
Odisha,31.152663007446137,81.97096810260331,43.97924547042611,2.3247891269839056,November,437.5574750675375,Typhoid
Meghalaya,44.577691907925015,80.79422022505858,114.53997494103147,1.2009834316151045,May,199.8954654819267,Typhoid
Uttarakhand,42.66668360784259,40.41636942174868,92.24781915892584,4.345777334078299,November,1087.3336253916043,Typhoid
Goa,40.16838424168861,67.97784842634839,43.31874618644109,2.4689795774444416,July,291.8443247536971,Typhoid
Jharkhand,26.18707765170394,72.40382420489759,88.27988287358215,1.8762994724340436,October,101.70735968380929,Typhoid
Himachal Pradesh,36.184050890927374,58.04005662663164,307.8950115247991,3.891913758454583,July,20.869250146513057,Typhoid
Manipur,41.167901771202175,48.0125489226746,16.515599792641684,1.2328749663349656,June,1049.9135177192031,Typhoid
Manipur,33.08071036860415,40.711284110911706,239.6226459062061,1.121697811366962,July,902.1726680140126,Typhoid
Gujarat,39.10336021024709,62.79146683713172,44.01624328993298,5.479378130087659,May,342.4570936530389,Typhoid
Rajasthan,30.282023976411335,51.27890967213647,2.2685303711788043,4.463360203845552,February,553.1850674330732,Typhoid
Gujarat,27.43783793080601,42.18162358173655,280.9567770951686,5.398119225549148,May,685.5566556981653,Typhoid
Assam,27.85444132667954,68.42635596442159,199.0724685869435,1.0100340033444313,August,664.8693921825778,Typhoid
Arunachal Pradesh,41.857224087329165,57.12517747649092,156.5067822544153,3.1830550827717063,October,895.0658846282845,Typhoid
Goa,37.654152336547554,42.31078352255735,280.410942966465,4.940374286883548,March,798.1896459162386,Typhoid
Kerala,26.220109468736595,48.09479278752578,279.00811805711334,1.813283737973467,August,332.683415134944,Typhoid
